CASERNE,MUNICIPALITY/BOROUGH,CODE,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
2,Ville-Marie,REM19,4391.8,4598.8,4656.6,4883.0,4637.9,5071.7,5159.3,5146.1,5131.9,5218.5,5332.9,5381.8,5449.7,5526.1,5617.3,5771.6,5873.1,5797.2,6243.5,7140.8
5,Ville-Marie,REM19,4391.8,4598.8,4656.6,4883.0,4637.9,5071.7,5159.3,5146.1,5131.9,5218.5,5332.9,5381.8,5449.7,5526.1,5617.3,5771.6,5873.1,5797.2,6243.5,7140.8
10,Ville-Marie,REM19,4391.8,4598.8,4656.6,4883.0,4637.9,5071.7,5159.3,5146.1,5131.9,5218.5,5332.9,5381.8,5449.7,5526.1,5617.3,5771.6,5873.1,5797.2,6243.5,7140.8
19,Ville-Marie,REM19,4391.8,4598.8,4656.6,4883.0,4637.9,5071.7,5159.3,5146.1,5131.9,5218.5,5332.9,5381.8,5449.7,5526.1,5617.3,5771.6,5873.1,5797.2,6243.5,7140.8
20,Ville-Marie,REM19,4391.8,4598.8,4656.6,4883.0,4637.9,5071.7,5159.3,5146.1,5131.9,5218.5,5332.9,5381.8,5449.7,5526.1,5617.3,5771.6,5873.1,5797.2,6243.5,7140.8
25,Ville-Marie,REM19,4391.8,4598.8,4656.6,4883.0,4637.9,5071.7,5159.3,5146.1,5131.9,5218.5,5332.9,5381.8,5449.7,5526.1,5617.3,5771.6,5873.1,5797.2,6243.5,7140.8
13,Mercier-Hochelaga-Maisonneuve,REM22,5166.3,5246.5,5171.7,5198.7,5172.2,5209.9,5282.6,5372.4,5279.7,5309.1,5422.6,5496.5,5541.3,5583.3,5528.0,5681.0,5749.1,5643.9,5620.2,5890.9
39,Mercier-Hochelaga-Maisonneuve,REM22,5166.3,5246.5,5171.7,5198.7,5172.2,5209.9,5282.6,5372.4,5279.7,5309.1,5422.6,5496.5,5541.3,5583.3,5528.0,5681.0,5749.1,5643.9,5620.2,5890.9
40,Mercier-Hochelaga-Maisonneuve,REM22,5166.3,5246.5,5171.7,5198.7,5172.2,5209.9,5282.6,5372.4,5279.7,5309.1,5422.6,5496.5,5541.3,5583.3,5528.0,5681.0,5749.1,5643.9,5620.2,5890.9
45,Mercier-Hochelaga-Maisonneuve,REM22,5166.3,5246.5,5171.7,5198.7,5172.2,5209.9,5282.6,5372.4,5279.7,5309.1,5422.6,5496.5,5541.3,5583.3,5528.0,5681.0,5749.1,5643.9,5620.2,5890.9
