nb_fire_hydrant,INCIDENT_NBR,CREATION_DATE,INCIDENT_TYPE_DESC,DESCRIPTION_GROUPE,CASERNE,NOM_VILLE,NOM_ARROND,DIVISION,LATITUDE,LONGITUDE,NOMBRE_UNITES
441,77271,2022-09-02 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.447585,-73.571511,1
441,77642,2022-09-02 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.463842,-73.566912,3
441,77955,2022-09-03 00:00:00,10-22 avec feu,Incendies de bâtiments,66,Montréal,Verdun,2,45.461311,-73.573948,6
441,78496,2022-09-05 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.46495,-73.567907,1
441,78563,2022-09-05 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.44767,-73.57868,1
441,79973,2022-09-09 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.461899,-73.56709,1
441,80007,2022-09-10 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.461899,-73.56709,1
441,80057,2022-09-10 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.46495,-73.567907,1
441,80626,2022-09-11 00:00:00,Feu de véhicule extérieur,Autres incendies,66,Montréal,Verdun,2,45.466106,-73.563633,7
441,84875,2022-09-24 00:00:00,10-22 avec feu,Incendies de bâtiments,66,Montréal,Verdun,2,45.472148,-73.563087,9
441,85193,2022-09-25 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.447585,-73.571511,1
441,90371,2022-10-10 00:00:00,Feu de bâtiment,Incendies de bâtiments,66,Montréal,Verdun,2,45.466408,-73.575381,22
441,94443,2022-10-22 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.440174,-73.589393,1
441,96010,2022-10-26 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.467765,-73.562878,1
441,97750,2022-10-31 00:00:00,10-22 avec feu,Incendies de bâtiments,66,Montréal,Verdun,2,45.461738,-73.562986,6
441,98588,2022-11-02 00:00:00,10-22 avec feu,Incendies de bâtiments,66,Montréal,Verdun,2,45.451492,-73.574547,11
441,98852,2022-11-03 00:00:00,Feu de véhicule extérieur,Autres incendies,66,Montréal,Verdun,2,45.454841,-73.565198,1
441,99947,2022-11-06 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.46295,-73.570794,1
441,100709,2022-11-09 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.458831,-73.567367,1
441,101068,2022-11-10 00:00:00,10-22 avec feu,Incendies de bâtiments,66,Montréal,Verdun,2,45.458246,-73.563345,6
441,103053,2022-11-16 00:00:00,10-22 avec feu,Incendies de bâtiments,66,Montréal,Verdun,2,45.465065,-73.570603,6
441,106379,2022-11-26 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.470669,-73.56662,1
441,111921,2022-12-11 00:00:00,10-22 avec feu,Incendies de bâtiments,66,Montréal,Verdun,2,45.461311,-73.573948,6
441,112827,2022-12-14 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.462734,-73.565915,1
441,114623,2022-12-19 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.462734,-73.565915,1
441,118048,2022-12-29 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.446776,-73.584138,2
441,4354,2023-01-16 00:00:00,10-22 avec feu,Incendies de bâtiments,66,Montréal,Verdun,2,45.464219,-73.575578,6
441,4811,2023-01-17 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.461899,-73.56709,6
441,12655,2023-02-08 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.459678,-73.567291,1
441,12960,2023-02-09 00:00:00,Feu de bâtiment,Incendies de bâtiments,66,Montréal,Verdun,2,45.46209,-73.571423,24
441,18057,2023-02-24 00:00:00,Feu de nature électrique,Incendies de bâtiments,66,Montréal,Verdun,2,45.467133,-73.566617,4
441,22666,2023-03-12 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.466018,-73.566716,6
441,25033,2023-03-20 00:00:00,Feu / 2e Alerte,Incendies de bâtiments,66,Montréal,Verdun,2,45.444145,-73.577416,32
441,25091,2023-03-20 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.456076,-73.567616,1
441,29375,2023-04-03 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.46234,-73.56705,1
441,29815,2023-04-05 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.456076,-73.567616,1
441,30013,2023-04-05 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.445621,-73.57351,1
441,32093,2023-04-06 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.458618,-73.571732,1
441,35506,2023-04-11 00:00:00,Feu de champ *,Autres incendies,66,Montréal,Verdun,2,45.451221,-73.568069,1
441,37328,2023-04-16 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.470669,-73.56662,1
441,38400,2023-04-19 00:00:00,Déchets en feu,Autres incendies,66,Montréal,Verdun,2,45.459234,-73.567331,1
