ADRESSE,COORDONNEE_SPATIALE_X,COORDONNEE_SPATIALE_Y,ELEVATION_TERRAIN,ID_BI,ID_POINT,JURIDICTION,PRECISION_DATE_INSTALL,PROPRIETAIRE,PROVENANCE_DONNEE,LATITUDE,LONGITUDE
1101-1107 rue Allard,298520.562,5034108.518,19.516,10003732,10078655,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.446887719562426,-73.58027649962676
12455 63e avenue,299791.281,5057556.776,28.084,10003834,10080069,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.65789323748607,-73.56427274101577
9555 rue Hochelaga,303607.095,5052301.097,16.257,10003383,10071754,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.61061879898392,-73.5152957335226
5718 avenue Wentworth,291279.113,5035380.496,43.064,10004170,10085558,LOCALE,DATE INSTALLATION PRECISE,COTE-SAINT-LUC,RELEVE TERRAIN INTERNE,45.458230956532056,-73.67288529693323
12757 rue Devlin,278244.183,5040954.875,31.058,10004069,10083622,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.50801649999389,-73.83985463252402
4999 avenue des Mélèzes,300031.546,5047624.353,44.897,10003039,10068374,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.56852058995073,-73.56109227298482
7941 avenue Pierre-De Coubertin,302705.869,5050462.554,24.202,10003754,10078825,LOCALE,DATE INSTALLATION PRECISE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.59407286757634,-73.52684263336239
10244 avenue Balzac,295092.16,5049887.69,34.6,8394,23726,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.58883564314748,-73.62441794237438
583 rue Simonet,275631.154,5040170.494,35.529,8675,24486,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.50085422418572,-73.87324821504004
2610 boulevard Jean-Baptiste-Deschamps,289279.32,5036249.302,39.961,8349,23607,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.46600741813224,-73.69848286891944
51 rue Maxwell,272850.194,5031235.911,34.983,8356,23634,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,BAIE URFE,RELEVE PHOTOGRAMMETRIQUE,45.420336487680686,-73.90825176739253
500 avenue Lee,273296.782,5032078.779,31.425,8156,23149,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,BAIE URFE,RELEVE TERRAIN EXTERNE,45.42794114587651,-73.90259952764313
5465 rue Fancamp,297039.771,5049888.82,41.91,8011,22734,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.58887024892712,-73.59945703534557
5131 rue Bouchard,274513.604,5036592.895,24.316,10003152,10069914,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.468614607529496,-73.8873277128991
113 4e avenue Sud,281600.817,5040790.746,24.695,10003154,10069932,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.506659345956486,-73.79689028374034
862 boulevard Jules-Poitras,291584.898,5042770.216,35.209,10003183,10070225,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.52473258507326,-73.669174432534
2495 rue Decelles,289570.972,5040268.361,36.795,10005411,12108197,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.50217876751504,-73.69487752270491
630 boulevard Alexis-Nihon,290313.04,5040238.581,37.777,10005414,12108219,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.50192662458302,-73.68538090913647
308 rue Biscaye,277654.594,5037735.073,40.635,10003111,10069342,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.47902119555785,-73.8472220722554
4383 rue Champagne,276008.011,5037165.85,40.603,10003059,10068764,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.473833242410414,-73.86824992143366
5120-5122 avenue d' Orléans,299656.398,5046225.76,46.812,10003737,10078701,LOCALE,DATE INSTALLATION PRECISE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.55593266841652,-73.5658833241817
3200 rue Léon-Brisebois,276226.849,5039823.995,31.609,10003899,10081219,LOCALE,DATE INSTALLATION PRECISE AU MOIS COURANT,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.49776106628016,-73.86560550653118
269 rue Soupras,276303.8,5039719.222,27.694,10003974,25256,LOCALE,DATE INSTALLATION PRECISE AU MOIS COURANT,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.4968214604717,-73.86461480843766
590 rue Bertrand,290022.532,5039838.768,38.082,10003979,5297700,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.498322861606944,-73.68908635142701
3864 rue Préfontaine,300127.354,5044878.106,46.727,10003757,10078837,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.54380931448247,-73.55983813314461
12685-12687 25e avenue,297305.883,5055825.455,21.059,10003917,10081460,LOCALE,DATE INSTALLATION PRECISE AU MOIS COURANT,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.64229198961904,-73.59613801168278
1391 rue du Collège,291213.422,5041191.191,40.645,10003817,10079616,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.51051688433622,-73.67388580123263
6045-6047 rue Crevier,295424.753,5052440.081,31.442,10003952,10082005,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.61180731064847,-73.62020431908
5213-5215 rue Hutchison,297117.778,5042193.19,75.251,10003953,10082013,LOCALE,DATE INSTALLATION PRECISE AU MOIS COURANT,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.519623249657776,-73.59833602682761
UNKNOWN,299798.878,5040304.753,23.878,10003960,10082174,LOCALE,DATE INSTALLATION PRECISE AU MOIS COURANT,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.50265473479317,-73.56399788289968
8545-8559 rue du Champ-d'Eau,298135.04,5051443.59,33.06,8583,24217,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.60287191154068,-73.58544097515144
269 rue Aumais,271245.79,5033462.99,28.67,8635,24375,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,SAINTE-ANNE-DE-BELLEVUE,RELEVE TERRAIN EXTERNE,45.44030140072319,-73.92890427719074
5060-5064 rue des Galets,297040.721,5049284.08,45.4,8063,22905,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.58342852863812,-73.59943527426685
4565 rue Jean-Talon Est,298007.641,5047991.947,47.288,8231,23335,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.57181171757127,-73.58702630456366
8080-8082 rue de Nice,297011.681,5048479.91,48.27,7669,21828,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.57619211359362,-73.5997945433165
4885 rue Jean-Talon Est,298170.343,5048312.628,46.345,8235,23345,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.5746988600372,-73.5849461083908
7355 rue Notre-Dame Est,304103.02,5049405.893,12.301,10003277,10070854,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.58456738877103,-73.50893325599424
2370-2374 rue Nicolet,300980.119,5045345.953,22.092,10003323,10071361,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.54802435534262,-73.54892135598278
4530 chemin de la Côte-des-Neiges,296289.296,5039577.151,128.807,10003192,10070330,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.49607318148915,-73.60889599318887
3070-3072 rue Adam,301346.976,5044279.434,18.991,10003280,10070888,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.538429475843294,-73.54421569063338
3240 rue Léon-Brisebois,276095.93,5039613.744,29.714,10003901,10081284,LOCALE,DATE INSTALLATION PRECISE AU MOIS COURANT,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.49586382864494,-73.86726835109619
12777 rue Devlin,278127.708,5040917.662,29.409,10004056,10083477,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.50767721818729,-73.84134317498604
6029 rue Bourassa,278113.891,5041144.014,27.795,10004057,10083484,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.509713448069824,-73.84153233771463
4461 rue Laniel,276437.515,5037758.845,27.562,10004121,10083996,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.479186757789606,-73.86279088749224
8844-8846 8e avenue,295061.823,5047582.648,37.522,10004124,10084021,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.5680937942248,-73.62476030784876
125-185 rue Lyette,291864.09,5032236.021,25.344,7734,22016,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.42994667998472,-73.665323403309
4360-4364 rue Delâge,296361.131,5048644.95,44.49,7524,21413,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.5776696095914,-73.60813302496561
228 avenue Dupras,292102.042,5032387.445,26.454,7749,22056,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.4313136182751,-73.66228624128588
4945-4947 rue Eymard,297803.271,5048626.17,45.22,7685,21869,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.57751653678242,-73.58965387839905
44 avenue Garden City,269418.136,5029997.222,31.541,7762,22084,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,SAINTE-ANNE-DE-BELLEVUE,RELEVE TERRAIN EXTERNE,45.40902537322248,-73.95201584060553
6095-6097 rue De Pontbriand,297971.401,5050275.23,40.26,7938,22512,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.59235709905101,-73.58752257161353
57 rue Shaw,272394.054,5031050.146,35.199,8405,23743,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,BAIE URFE,RELEVE PHOTOGRAMMETRIQUE,45.4186438875121,-73.91406766064165
9261-9263 rue Bayne,293850.198,5031304.969,33.838,8280,23451,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.421602416015645,-73.63992039306477
9225 rue Bayne,293934.078,5031277.795,33.424,8282,23454,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,VILLE DE MONTREAL,RELEVE TERRAIN EXTERNE,45.42135920563629,-73.6388479625748
59 croissant Gray,273022.113,5031430.355,34.91,8453,23862,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,BAIE URFE,RELEVE TERRAIN INTERNE,45.4220939890736,-73.9060676738261
9095-9099 boulevard Viau,295954.13,5049830.31,35.61,8454,23865,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.58833086339818,-73.61336969062094
59 rue Birch Hill,273307.423,5031521.954,36.671,8456,23869,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,BAIE URFE,RELEVE PHOTOGRAMMETRIQUE,45.42293111709625,-73.90242791336824
1500 rue Jacques-Casault,294971.79,5045875.847,47.676,10003458,10072344,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.5527344970017,-73.62587984077317
5404 rue Charlebois,271364.531,5036970.069,27.407,10003516,10073774,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.4718646749342,-73.9276248412424
14312 rue Yates,277651.782,5038022.934,37.781,10003463,10072368,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.48161141234911,-73.84727392870333
330 rue Sauvé Ouest,292081.758,5044706.59,31.356,10003466,10072404,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.54216597470585,-73.6628642080192
3840 rue Sainte-Catherine Est,301904.199,5045084.297,15.219,10003599,10075897,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.54567441231804,-73.53708550007588
7830 avenue Henri-Béland,286107.057,5042760.001,22.133,10003421,10072139,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.52451519934069,-73.73929793194701
1760 avenue Surrey,283824.991,5034701.928,28.585,10003643,10077319,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,DORVAL,RELEVE TERRAIN INTERNE,45.45194022869556,-73.76816747356798
3150 avenue Émile-Journault,295017.973,5047705.787,37.131,10004062,10083573,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN INTERNE,45.56920122017156,-73.62532455409702
215 avenue Thrush,283388.664,5033757.465,25.03,10003646,10077342,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,DORVAL,RELEVE TERRAIN INTERNE,45.4434283998728,-73.77370444375705
792 boulevard Neptune,283172.162,5035168.227,27.902,10003651,10077430,LOCALE,DATE INSTALLATION PRECISE 5 ANS MAXIMUM,DORVAL,RELEVE TERRAIN INTERNE,45.45611628766333,-73.77653446091664
2020 avenue Chanteclerc,283323.268,5035275.579,28.33,10003652,10077441,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,DORVAL,RELEVE TERRAIN INTERNE,45.4570869324941,-73.77460714112956
550 boulevard des Anciens-Combattants,269571.247,5030932.22,33.256,7809,22218,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,SENNEVILLE,RELEVE TERRAIN INTERNE,45.41744649530835,-73.9501267534891
95 rue du Général-Brock,280410.666,5040437.06,27.868,7818,22245,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,VILLE DE MONTREAL,RELEVE TERRAIN EXTERNE,45.50343615997747,-73.81210331060998
8877 boulevard LaSalle,294839.594,5030644.46,22.833,7158,20512,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN EXTERNE,45.41567364870065,-73.6272643479539
7675-7677 rue de Boischatel,297869.076,5048854.414,46.906,7676,21846,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE TERRAIN EXTERNE,45.5795710047069,-73.58881394103867
7611-7615 rue Louis-Quilico,297904.251,5048750.3,46.09,7679,21855,LOCALE,DATE INSTALLATION PRECISE 100 ANS MAXIMUM,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.57863451778029,-73.58836173679278
495-497 rue de Magog,293426.934,5031323.97,36.032,8326,23549,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.421766615579465,-73.64532938551389
5179 rue Léo-Ouellet,295666.88,5050298.17,35.16,8499,23985,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.59253706938045,-73.617059852159
127 rue Philippe-Delisle,273851.099,5041438.858,27.371,8369,23665,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.51219042438597,-73.89610505554595
140 rue Sauvé,273855.643,5041268.705,28.568,8371,23670,LOCALE,DATE INSTALLATION DANS L'ANNEE COURANTE,VILLE DE MONTREAL,RELEVE PHOTOGRAMMETRIQUE,45.51065955359825,-73.89603621891348
