YEAR,MONTH,CASERNE,MEDIAN_NOMBRE_UNITES,FIRE_COUNT,AREA_SQ_KM,FIRE_COUNT_SQ_KM,LOG_MEDIAN_NOMBRE_UNITES,LOG_FIRE_COUNT_SQ_KM,SEVERITY_RISK,FREQUENCY_RISK
2005,2,47,2.0,3,3.71,0.81,0.6931471805599453,0.5933268452777344,16.0,19.0
2005,2,48,4.0,6,2.28,2.63,1.3862943611198906,1.2892326482767593,32.0,43.0
2005,2,49,2.5,4,7.05,0.57,0.9162907318741551,0.45107561936021656,21.0,14.000000000000002
2005,2,51,3.0,3,17.84,0.17,1.0986122886681098,0.1570037488096647,25.0,4.0
2005,2,52,2.0,3,6.04,0.5,0.6931471805599453,0.4054651081081644,16.0,13.0
2005,2,54,2.5,2,9.67,0.21,0.9162907318741551,0.1906203596086497,21.0,5.0
2005,2,55,1.0,6,18.93,0.32,0.0,0.27763173659827955,0.0,8.0
2005,2,57,4.0,5,12.81,0.39,1.3862943611198906,0.32930374714260047,32.0,10.0
2005,2,61,3.0,3,15.06,0.2,1.0986122886681098,0.1823215567939546,25.0,5.0
2005,2,62,6.0,1,4.51,0.22,1.791759469228055,0.19885085874516517,41.0,6.0
2005,2,63,1.0,6,16.54,0.36,0.0,0.30748469974796055,0.0,9.0
2005,2,64,2.0,5,17.88,0.28,0.6931471805599453,0.2468600779315258,16.0,7.000000000000001
2005,2,65,4.0,13,16.1,0.81,1.3862943611198906,0.5933268452777344,32.0,19.0
2005,2,66,17.0,3,6.06,0.5,2.833213344056216,0.4054651081081644,64.0,13.0
2005,2,71,1.0,3,14.53,0.21,0.0,0.1906203596086497,0.0,5.0
2005,2,72,2.0,4,19.75,0.2,0.6931471805599453,0.1823215567939546,16.0,5.0
2005,2,73,5.0,3,8.65,0.35,1.6094379124341003,0.30010459245033816,37.0,9.0
2005,2,74,3.0,1,7.55,0.13,1.0986122886681098,0.12221763272424911,25.0,3.0
2005,2,75,2.0,2,3.82,0.52,0.6931471805599453,0.41871033485818504,16.0,13.0
2005,2,78,5.5,2,8.62,0.23,1.7047480922384253,0.20701416938432612,39.0,6.0
2005,3,3,1.0,3,1.33,2.26,0.0,1.1817271953786161,0.0,40.0
2005,3,4,3.0,7,5.47,1.28,1.0986122886681098,0.8241754429663495,25.0,27.0
2005,3,5,1.0,18,1.31,13.74,0.0,2.6905648867611904,0.0,92.0
2005,3,8,5.0,6,12.33,0.49,1.6094379124341003,0.3987761199573678,37.0,12.0
2005,3,9,2.5,8,9.29,0.86,0.9162907318741551,0.6205764877251098,21.0,20.0
2005,3,10,1.0,7,2.65,2.64,0.0,1.2919836816486494,0.0,43.0
2005,3,13,1.0,5,3.55,1.41,0.0,0.8796267475025636,0.0,28.999999999999996
2005,3,14,3.5,2,10.31,0.19,1.252762968495368,0.17395330712343798,28.999999999999996,5.0
2005,3,15,1.0,4,6.6,0.61,0.0,0.47623417899637155,0.0,15.0
2005,3,16,1.0,9,2.72,3.31,0.0,1.4609379041156565,0.0,49.0
2005,3,17,4.0,6,4.89,1.23,1.3862943611198906,0.8020015854720274,32.0,26.0
2005,3,18,3.0,15,6.02,2.49,1.0986122886681098,1.2499017362143359,25.0,42.0
2005,3,19,1.0,8,8.29,0.97,0.0,0.6780335427498971,0.0,22.0
2005,3,20,1.0,10,6.3,1.59,0.0,0.9516578757114463,0.0,32.0
2005,3,21,4.0,11,9.76,1.13,1.3862943611198906,0.7561219797213337,32.0,25.0
2005,3,22,2.0,5,3.8,1.32,0.6931471805599453,0.8415671856782188,16.0,28.000000000000004
2005,3,23,2.0,10,4.73,2.11,0.6931471805599453,1.1346227261911428,16.0,38.0
2005,3,25,1.0,1,2.99,0.33,0.0,0.28517894223366247,0.0,9.0
2005,3,26,2.0,4,1.99,2.01,0.6931471805599453,1.1019400787607843,16.0,37.0
2005,3,27,5.0,5,6.64,0.75,1.6094379124341003,0.5596157879354227,37.0,18.0
2005,3,28,3.0,3,13.87,0.22,1.0986122886681098,0.19885085874516517,25.0,6.0
2005,3,29,6.5,4,4.06,0.99,1.8718021769015913,0.688134638736401,43.0,23.0
2005,3,30,1.0,13,3.44,3.78,0.0,1.5644405465033644,0.0,53.0
2005,3,31,5.0,4,2.01,1.99,1.6094379124341003,1.095273387402595,37.0,37.0
2005,3,33,2.5,6,5.14,1.17,0.9162907318741551,0.7747271675523681,21.0,26.0
2005,3,34,5.0,7,4.04,1.73,1.6094379124341003,1.0043016091968684,37.0,33.0
2005,3,35,1.0,4,3.08,1.3,0.0,0.8329091229351039,0.0,28.000000000000004
2005,3,37,4.5,10,4.69,2.13,1.5040773967762742,1.1410330045520618,34.0,38.0
2005,3,38,1.0,3,20.3,0.15,0.0,0.13976194237515863,0.0,3.0
2005,3,39,1.0,5,8.68,0.58,0.0,0.4574248470388755,0.0,15.0
2005,3,40,1.0,7,8.98,0.78,0.0,0.5766133643039938,0.0,19.0
2005,3,41,12.0,5,2.48,2.02,2.4849066497880004,1.1052568313867783,56.99999999999999,37.0
2005,3,42,3.5,8,10.29,0.78,1.252762968495368,0.5766133643039938,28.999999999999996,19.0
2005,3,43,5.0,5,5.11,0.98,1.6094379124341003,0.6830968447064438,37.0,22.0
2005,3,44,3.5,4,13.98,0.29,1.252762968495368,0.25464221837358075,28.999999999999996,7.000000000000001
2005,3,45,4.0,3,3.99,0.75,1.3862943611198906,0.5596157879354227,32.0,18.0
2005,3,46,5.0,13,5.32,2.44,1.6094379124341003,1.235471471385307,37.0,42.0
2005,3,47,4.0,7,3.71,1.89,1.3862943611198906,1.0612565021243408,32.0,35.0
2005,3,48,1.0,3,2.28,1.32,0.0,0.8415671856782188,0.0,28.000000000000004
2005,3,49,3.0,4,7.05,0.57,1.0986122886681098,0.45107561936021656,25.0,14.000000000000002
2005,3,50,1.0,2,6.11,0.33,0.0,0.28517894223366247,0.0,9.0
2005,3,51,2.0,4,17.84,0.22,0.6931471805599453,0.19885085874516517,16.0,6.0
2005,3,53,2.0,1,10.99,0.09,0.6931471805599453,0.08617769624105241,16.0,2.0
2005,3,54,1.5,2,9.67,0.21,0.4054651081081644,0.1906203596086497,9.0,5.0
2005,3,55,1.0,4,18.93,0.21,0.0,0.1906203596086497,0.0,5.0
2005,3,57,2.0,8,12.81,0.62,0.6931471805599453,0.4824261492442928,16.0,15.0
2005,3,58,4.0,1,2.28,0.44,1.3862943611198906,0.36464311358790924,32.0,11.0
2005,3,61,3.0,1,15.06,0.07,1.0986122886681098,0.06765864847381486,25.0,1.0
2005,3,62,4.5,2,4.51,0.44,1.5040773967762742,0.36464311358790924,34.0,11.0
2005,3,63,1.0,9,16.54,0.54,0.0,0.43178241642553783,0.0,14.000000000000002
2005,3,64,3.0,14,17.88,0.78,1.0986122886681098,0.5766133643039938,25.0,19.0
2005,3,65,5.0,11,16.1,0.68,1.6094379124341003,0.5187937934151676,37.0,17.0
2005,3,66,3.0,9,6.06,1.49,1.0986122886681098,0.9122827104766164,25.0,30.0
2005,3,67,6.0,1,3.76,0.27,1.791759469228055,0.23901690047049992,41.0,7.000000000000001
2005,3,71,4.0,3,14.53,0.21,1.3862943611198906,0.1906203596086497,32.0,5.0
2005,3,72,4.0,6,19.75,0.3,1.3862943611198906,0.26236426446749106,32.0,8.0
2005,3,73,5.0,3,8.65,0.35,1.6094379124341003,0.30010459245033816,37.0,9.0
2005,3,74,1.0,5,7.55,0.66,0.0,0.506817602368452,0.0,16.0
2005,3,75,6.0,5,3.82,1.31,1.791759469228055,0.8372475245337022,41.0,28.000000000000004
2005,3,76,4.0,5,4.02,1.24,1.3862943611198906,0.8064758658669485,32.0,27.0
2005,3,77,2.0,2,1.41,1.42,0.6931471805599453,0.883767540168595,16.0,28.999999999999996
2005,3,78,2.0,3,8.62,0.35,0.6931471805599453,0.30010459245033816,16.0,9.0
2005,4,3,5.0,3,1.33,2.26,1.6094379124341003,1.1817271953786161,37.0,40.0
2005,4,4,2.0,6,5.47,1.1,0.6931471805599453,0.7419373447293773,16.0,24.0
2005,4,5,3.5,18,1.31,13.74,1.252762968495368,2.6905648867611904,28.999999999999996,92.0
2005,4,8,1.0,4,12.33,0.32,0.0,0.27763173659827955,0.0,8.0
2005,4,9,1.0,20,9.29,2.15,0.0,1.1474024528375417,0.0,38.0
2005,4,10,4.0,11,2.65,4.15,1.3862943611198906,1.6389967146756448,32.0,56.00000000000001
2005,4,13,1.0,7,3.55,1.97,0.0,1.0885619528146082,0.0,36.0
2005,4,14,1.0,16,10.31,1.55,0.0,0.9360933591703348,0.0,31.0
2005,4,15,1.0,7,6.6,1.06,0.0,0.7227059828014898,0.0,24.0
2005,4,16,5.0,19,2.72,6.99,1.6094379124341003,2.0781907597781832,37.0,71.0
2005,4,17,1.0,13,4.89,2.66,0.0,1.297463147413275,0.0,44.0
2005,4,18,2.0,14,6.02,2.33,0.6931471805599453,1.2029723039923526,16.0,40.0
2005,4,19,1.0,12,8.29,1.45,0.0,0.8960880245566357,0.0,30.0
2005,4,20,5.5,8,6.3,1.27,1.7047480922384253,0.8197798314933114,39.0,27.0
