INCIDENT_NBR,CREATION_DATE,INCIDENT_TYPE_DESC,DESCRIPTION_GROUPE,CASERNE,NOM_VILLE,NOM_ARROND,DIVISION,LATITUDE,LONGITUDE,NOMBRE_UNITES,DESC_GROUP_ENGLISH
903,2005-01-07,10-22 avec feu,Incendies de bâtiments,65,Lasalle,LaSalle,14,45.4350564881851,-73.6191224132928,3.0,Building fire
928,2005-01-08,Feu de bâtiment,Incendies de bâtiments,57,Pierrefonds ,Pierrefonds / Senneville,11,45.5128916932109,-73.8339166379503,12.0,Building fire
942,2005-01-08,Feu de bâtiment,Incendies de bâtiments,19,Montréal,Ville-Marie,18,45.5248183063741,-73.5614874225145,15.0,Building fire
958,2005-01-08,Feu de bâtiment,Incendies de bâtiments,9,Montréal,Villeray / St-Michel / Parc Extension,20,45.5684323362535,-73.6202142591493,14.0,Building fire
970,2005-01-08,10-22 avec feu,Incendies de bâtiments,13,Montréal,Mercier / Hochelaga-Maisonneuve,23,45.5469873511903,-73.5338783357727,7.0,Building fire
992,2005-01-08,10-22 avec feu,Incendies de bâtiments,9,Montréal,Villeray / St-Michel / Parc Extension,20,45.561726589693,-73.5989731288927,4.0,Building fire
999,2005-01-08,Déchets en feu,Autres incendies,33,Montréal,Sud-Ouest,15,45.4637176012753,-73.5811746850225,3.0,Other fires
1000,2005-01-08,Feu / 5e Alerte,Incendies de bâtiments,30,Montréal,Mont-Royal,22,45.5241516145669,-73.6004413958508,98.0,Building fire
1017,2005-01-08,Déchets en feu,Autres incendies,30,Montréal,Mont-Royal,22,45.5279218725768,-73.5879271278261,1.0,Other fires
1019,2005-01-08,10-22 avec feu,Incendies de bâtiments,16,Montréal,Mont-Royal,22,45.5218023400064,-73.5781256195699,4.0,Building fire
1030,2005-01-08,Feu de véhicule extérieur,Autres incendies,18,Montréal-Nord,Montréal-Nord,21,45.6126731174732,-73.6032122339639,1.0,Other fires
1032,2005-01-08,Feu de cheminée *,Autres incendies,64,Lachine,Lachine,14,45.4419644214293,-73.6795962525087,3.0,Other fires
1043,2005-01-09,10-22 avec feu,Incendies de bâtiments,10,Montréal,Ville-Marie,18,45.4901432977847,-73.5819808522625,9.0,Building fire
1045,2005-01-09,Feu de véhicule extérieur,Autres incendies,45,Montréal,Mercier / Hochelaga-Maisonneuve,23,45.5586384843966,-73.5442430551855,1.0,Other fires
1075,2005-01-09,Feu de cheminée *,Autres incendies,9,Montréal,Villeray / St-Michel / Parc Extension,20,45.5691371437756,-73.6313299617347,4.0,Other fires
1088,2005-01-09,Feu de véhicule extérieur,Autres incendies,30,Montréal,Mont-Royal,22,45.5281699911475,-73.5884513456685,1.0,Other fires
1110,2005-01-09,Déchets en feu,Autres incendies,13,Montréal,Mercier / Hochelaga-Maisonneuve,23,45.5487053177685,-73.5392521919713,4.0,Other fires
1112,2005-01-09,Déchets en feu,Autres incendies,67,Verdun / Ïle-des-Soeurs,Verdun,15,45.4685211074076,-73.5394859816109,4.0,Other fires
1117,2005-01-09,10-22 avec feu,Incendies de bâtiments,35,Montréal,Ahuntsic / Cartierville,21,45.545195060648,-73.6767173986531,4.0,Building fire
1118,2005-01-09,10-22 avec feu,Incendies de bâtiments,33,Montréal,Sud-Ouest,15,45.4573644541594,-73.5955895626198,3.0,Building fire
1128,2005-01-10,Feu / 2e Alerte,Incendies de bâtiments,18,Montréal-Nord,Montréal-Nord,21,45.6045978189267,-73.6162063877517,32.0,Building fire
1145,2005-01-10,Feu de véhicule extérieur,Autres incendies,48,Montréal,Mercier / Hochelaga-Maisonneuve,23,45.547952971293,-73.5552089263077,1.0,Other fires
1169,2005-01-10,10-22 avec feu,Incendies de bâtiments,76,Westmount,Westmount,17,45.4890096111489,-73.6031244697143,5.0,Building fire
1191,2005-01-10,Feu de cheminée *,Autres incendies,49,Montréal,Ahuntsic / Cartierville,21,45.5452580654047,-73.6539090423364,7.0,Other fires
1192,2005-01-10,Feu de véhicule extérieur,Autres incendies,50,Montréal,Rosemont / Petite-Patrie,22,45.5649556449583,-73.5873220220991,1.0,Other fires
1211,2005-01-10,10-22 avec feu,Incendies de bâtiments,35,Montréal,Ahuntsic / Cartierville,21,45.5502116428185,-73.6708767672082,6.0,Building fire
1215,2005-01-10,Feu de véhicule extérieur,Autres incendies,65,Lasalle,LaSalle,14,45.4290656402679,-73.6343422023684,1.0,Other fires
1217,2005-01-10,Feu de véhicule extérieur,Autres incendies,9,Montréal,Villeray / St-Michel / Parc Extension,20,45.5606427836625,-73.6022776672257,2.0,Other fires
